,Agent_ID,Number of Impressions,Number of Clicks,Spent Amount,CTR,CPC,CPM
0,2,6443,5,994181,0.0007760360080707744,198836.2,154304.05090796214
1,41,6287,6,970653,0.0009543502465404804,161775.5,154390.48830920947
2,35,6080,6,938637,0.000986842105263158,156439.5,154381.0855263158
3,3,6152,2,950117,0.00032509752925877764,475058.5,154440.344603381
4,45,6243,5,963712,0.0008008970046452026,192742.4,154366.8108281275
5,24,6179,3,954648,0.0004855154555753358,318216.0,154498.78621136106
6,36,6243,5,963907,0.0008008970046452026,192781.4,154398.04581130866
7,46,6142,3,948759,0.0004884402474763921,316253.0,154470.69358515143
8,31,6072,5,937292,0.0008234519104084321,187458.4,154362.97760210803
9,15,6256,1,965991,0.00015984654731457802,965991.0,154410.3260869565
10,12,6161,1,951692,0.00016231131309852296,951692.0,154470.37818535953
11,9,6286,3,970297,0.0004772510340439071,323432.3333333333,154358.41552656697
12,38,6126,3,945459,0.0004897159647404506,315153.0,154335.4554358472
13,25,6209,3,958731,0.00048316959252697695,319577.0,154409.88887099372
14,39,6181,3,954012,0.0004853583562530335,318004.0,154345.89872188965
15,14,6235,3,963152,0.00048115477145148355,321050.6666666667,154475.06014434644
16,49,6101,4,941724,0.0006556302245533519,235431.0,154355.6793968202
17,48,6133,2,947268,0.0003261046796021523,473634.0,154454.2638186858
18,44,6231,1,962015,0.00016048788316482104,962015.0,154391.75092280534
19,30,6191,2,956086,0.00032304958811177516,478043.0,154431.59424971734
20,18,6072,0,937796,0.0,0.0,154445.98155467722
21,43,6067,4,936403,0.0006593044338223175,234100.75,154343.66243612987
22,16,6154,3,949934,0.0004874878128046799,316644.6666666667,154360.41598960027
23,28,6251,7,965565,0.0011198208286674132,137937.85714285713,154465.68549032154
24,40,6288,5,970954,0.0007951653944020356,194190.8,154413.80407124682
25,6,6071,3,937220,0.0004941525284137704,312406.6666666667,154376.54422665128
26,47,6281,4,969450,0.000636841267314122,242362.5,154346.44164941888
27,32,6163,3,951930,0.00048677592081778357,317310.0,154458.8674346909
28,7,6093,6,941059,0.0009847365829640572,156843.16666666666,154449.20400459543
29,17,6286,2,970648,0.0003181673560292714,485324.0,154414.2538975501
30,29,6194,1,955868,0.00016144656118824668,955868.0,154321.60154988698
31,19,6175,5,954001,0.0008097165991902834,190800.2,154494.0890688259
32,34,6204,5,958490,0.0008059316569954867,191698.0,154495.48678272084
33,13,6196,2,956424,0.00032278889606197545,478212.0,154361.5235635894
34,27,6174,3,953135,0.00048590864917395527,317711.6666666667,154378.84677680596
35,21,6096,2,941215,0.00032808398950131233,470607.5,154398.78608923886
36,4,6303,4,973133,0.0006346184356655561,243283.25,154392.0355386324
37,50,6134,4,946890,0.0006521030322791001,236722.5,154367.46005868926
38,22,6200,1,957499,0.00016129032258064516,957499.0,154435.32258064515
39,37,6103,2,942155,0.00032770768474520726,471077.5,154375.71686056038
40,42,6140,4,948467,0.0006514657980456026,237116.75,154473.45276872965
41,20,6242,5,963924,0.0008010253123998718,192784.8,154425.5046459468
42,8,6240,4,963692,0.000641025641025641,240923.0,154437.8205128205
43,5,6020,7,929995,0.0011627906976744186,132856.42857142858,154484.219269103
44,11,6256,3,966122,0.00047953964194373403,322040.6666666667,154431.26598465472
45,33,6061,4,936178,0.0006599571027883187,234044.5,154459.33014354066
46,51,6176,4,954029,0.0006476683937823834,238507.25,154473.60751295337
47,26,6234,6,962583,0.0009624639076034649,160430.5,154408.56592877768
48,1,6133,2,946764,0.0003261046796021523,473382.0,154372.08543942607
49,10,6247,6,964318,0.0009604610212902193,160719.66666666666,154364.9751880903
50,23,6177,3,953474,0.00048567265662943174,317824.6666666667,154358.75020236362
